,날짜,요일,날씨,유료합계,무료합계,총계,평균기온(℃),강수량(mm)
0,2018-01-01,월,맑음,1688,628,2316,-1.3,
1,2018-01-02,화,구름 조금,403,585,988,-1.8,
2,2018-01-03,수,구름 조금,192,502,694,-4.7,
3,2018-01-04,목,흐림,165,506,671,-4.7,
4,2018-01-05,금,구름 조금,189,569,758,-3.0,
5,2018-01-06,토,맑음,968,967,1935,-2.8,
6,2018-01-07,일,흐림,922,959,1881,-0.8,
7,2018-01-08,월,흐림,193,441,634,1.3,0.9
8,2018-01-09,화,구름 많음,115,408,523,-4.2,0.5
9,2018-01-10,수,구름 조금,70,312,382,-7.5,0.3
10,2018-01-11,목,맑음,43,269,312,-11.1,
11,2018-01-12,금,맑음,52,176,228,-10.2,0.0
12,2018-01-13,토,맑음,350,665,1015,-4.4,0.4
13,2018-01-14,일,구름 많음,839,815,1654,0.6,
14,2018-01-15,월,구름 조금,225,420,645,4.7,0.2
15,2018-01-16,화,비,150,549,699,3.5,0.0
16,2018-01-17,수,구름 조금,196,435,631,4.5,
17,2018-01-18,목,구름 많음,989,514,1503,2.1,0.0
18,2018-01-19,금,맑음,334,584,918,1.0,
19,2018-01-20,토,구름 조금,1138,945,2083,2.2,
20,2018-01-21,일,구름 많음,1234,889,2123,0.4,
21,2018-01-22,월,눈,311,541,852,0.2,3.3
22,2018-01-23,화,맑음,67,296,363,-11.7,
23,2018-01-24,수,맑음,18,110,128,-14.2,
24,2018-01-25,목,맑음,23,139,162,-14.0,
25,2018-01-26,금,맑음,50,172,222,-14.8,
26,2018-01-27,토,구름 조금,247,408,655,-9.9,
27,2018-01-28,일,구름 조금,457,505,962,-6.3,
28,2018-01-29,월,맑음,87,322,409,-8.5,
29,2018-01-30,화,구름 많음,9203,457,9660,-5.3,2.9
30,2018-01-31,수,구름 많음,151,434,585,-2.6,0.0
31,2018-02-01,목,맑음,194,485,679,-4.0,
32,2018-02-02,금,구름 많음,152,552,704,-2.4,
33,2018-02-03,토,구름 조금,415,634,1049,-7.3,0.5
34,2018-02-04,일,맑음,281,509,790,-9.5,
35,2018-02-05,월,맑음,66,282,348,-9.4,
36,2018-02-06,화,구름 조금,60,309,369,-10.1,
37,2018-02-07,수,구름 많음,78,340,418,-8.0,
38,2018-02-08,목,맑음,177,547,724,-4.4,
39,2018-02-09,금,,172,485,657,0.4,
40,2018-02-10,토,,907,954,1861,-0.5,
41,2018-02-11,일,눈,544,615,1159,-6.1,0.0
42,2018-02-12,월,구름 많음,120,379,499,-5.8,0.0
43,2018-02-13,화,맑음,195,530,725,-0.8,
44,2018-02-14,수,,354,456,810,3.5,
45,2018-02-15,목,구름 조금,1193,572,1765,-0.7,
46,2018-02-16,금,맑음,2331,676,3007,-1.1,
47,2018-02-17,토,맑음,2617,973,3590,-3.0,
48,2018-02-18,일,구름 많음,2111,1259,3370,-0.4,
49,2018-02-19,월,구름 많음,767,791,1558,1.8,
50,2018-02-20,화,구름 조금,561,682,1243,0.9,
51,2018-02-21,수,구름 조금,465,704,1169,-0.9,
52,2018-02-22,목,구름 많음,562,786,1348,1.3,0.4
53,2018-02-23,금,구름 조금,490,589,1079,4.2,3.7
54,2018-02-24,토,구름 많음,2125,1237,3362,2.4,
55,2018-02-25,일,맑음,4517,1622,6139,1.9,
56,2018-02-26,월,구름 조금,1417,835,2252,3.1,
57,2018-02-27,화,흐림,769,748,1517,4.2,
58,2018-02-28,수,비,168,458,626,4.6,25.0
59,2018-03-01,목,맑음,2320,970,3290,,
60,2018-03-02,금,맑음,712,788,1500,,
61,2018-03-03,토,구름 많음,10711,3829,14540,,
62,2018-03-04,일,흐림,2268,1351,3619,-0.2,0.5
63,2018-03-05,월,구름 조금,546,503,1049,-0.7,
64,2018-03-06,화,구름 조금,739,1012,1751,7.9,0.0
65,2018-03-07,수,구름 많음,583,851,1434,9.8,11.5
66,2018-03-08,목,흐림,139,465,604,5.5,3.5
67,2018-03-09,금,구름 조금,495,871,1366,4.5,
68,2018-03-10,토,구름 조금,7513,3210,10723,6.4,0.5
69,2018-03-11,일,구름 조금,11235,3277,14512,4.6,4.0
70,2018-03-12,월,맑음,818,737,1555,4.5,
71,2018-03-13,화,구름 조금,889,930,1819,4.6,
72,2018-03-14,수,구름 조금,1872,1160,3032,6.4,
73,2018-03-15,목,비,82,308,390,8.0,
74,2018-03-16,금,맑음,1118,983,2101,12.4,
75,2018-03-17,토,구름 많음,17044,4667,21711,17.0,
76,2018-03-18,일,흐림,8256,3084,11340,12.4,27.0
77,2018-03-19,월,구름 조금,295,490,785,7.1,
78,2018-03-20,화,구름 많음,377,851,1228,6.6,
79,2018-03-21,수,눈,1673,511,2184,8.2,0.5
80,2018-03-22,목,맑음,603,956,1559,8.0,1.0
81,2018-03-23,금,구름 조금,1002,920,1922,4.7,
82,2018-03-24,토,구름 조금,6364,2054,8418,2.1,1.0
83,2018-03-25,일,맑음,5576,1758,7334,4.9,
84,2018-03-26,월,맑음,621,606,1227,6.1,
85,2018-03-27,화,구름 조금,560,737,1297,7.6,
86,2018-03-28,수,구름 조금,964,866,1830,9.6,
87,2018-03-29,목,구름 조금,725,863,1588,11.0,
88,2018-03-30,금,맑음,2395,1275,3670,13.3,
89,2018-03-31,토,구름 조금,17894,6715,24609,14.0,
90,2018-04-01,일,흐림,10899,4222,15121,15.4,
91,2018-04-02,월,,1818,967,2785,14.8,
92,2018-04-03,화,,2140,1549,3689,14.0,
93,2018-04-04,수,,1585,990,2575,15.6,
94,2018-04-05,목,,559,433,992,18.4,
95,2018-04-06,금,구름 많음,2933,987,3920,17.8,0.1
96,2018-04-07,토,구름 많음,9469,3272,12741,13.4,18.5
97,2018-04-08,일,흐림,9341,3342,12683,7.6,10.5
98,2018-04-09,월,구름 조금,3844,1931,5775,5.8,6.5
99,2018-04-10,화,구름 많음,3726,3510,7236,4.2,0.2
100,2018-04-11,수,맑음,2229,1955,4184,3.9,3.0
101,2018-04-12,목,맑음,4025,3239,7264,7.9,
102,2018-04-13,금,구름 많음,5380,3314,8694,15.1,5.0
103,2018-04-14,토,흐림,1075,1022,2097,12.6,
104,2018-04-15,일,구름 조금,16642,4713,21355,13.3,
105,2018-04-16,월,구름 조금,3299,2181,5480,14.6,
106,2018-04-17,화,맑음,2530,2634,5164,9.0,9.0
107,2018-04-18,수,맑음,2826,2808,5634,9.5,
108,2018-04-19,목,맑음,2455,2614,5069,11.6,
109,2018-04-20,금,맑음,3459,1894,5353,12.9,
110,2018-04-21,토,구름 조금,21602,11008,32610,12.4,
111,2018-04-22,일,비,5932,1748,7680,14.0,
112,2018-04-23,월,비,61,227,288,18.4,
113,2018-04-24,화,구름 많음,1685,2655,4340,18.7,
114,2018-04-25,수,맑음,4324,4309,8633,15.5,15.5
115,2018-04-26,목,구름 조금,10774,5059,15833,9.3,59.0
116,2018-04-27,금,맑음,10229,4121,14350,12.1,3.0
117,2018-04-28,토,맑음,17221,5743,22964,14.6,
118,2018-04-29,일,구름 조금,22455,7319,29774,14.9,
119,2018-04-30,월,구름 조금,4035,11066,15101,15.7,
120,2018-05-01,화,흐림,16617,5667,22284,15.4,
121,2018-05-02,수,비,697,652,1349,16.2,
122,2018-05-03,목,흐림,6490,2613,9103,19.2,
123,2018-05-04,금,맑음,8372,3026,11398,,
124,2018-05-05,토,맑음,29521,22789,52310,20.4,0.0
125,2018-05-06,일,비,2624,720,3344,15.1,12.0
126,2018-05-07,월,구름 많음,24639,8182,32821,11.2,1.0
127,2018-05-08,화,,3600,2128,5728,14.1,
128,2018-05-09,수,,2938,2954,5892,18.3,
129,2018-05-10,목,,3138,3624,6762,16.6,22.0
130,2018-05-11,금,구름 많음,6050,3785,9835,19.2,
131,2018-05-12,토,비,801,544,1345,17.5,
132,2018-05-13,일,구름 조금,17365,5766,23131,15.7,
133,2018-05-14,월,맑음,2153,1949,4102,15.4,
134,2018-05-15,화,구름 많음,2476,2349,4825,16.1,
135,2018-05-16,수,비,222,674,896,14.2,32.0
136,2018-05-17,목,비,830,479,1309,15.8,0.5
137,2018-05-18,금,흐림,4252,1240,5492,18.2,
138,2018-05-19,토,맑음,24047,9608,33655,23.2,0.0
139,2018-05-20,일,구름 많음,23579,6870,30449,22.3,45.0
140,2018-05-21,월,구름 조금,13403,5895,19298,20.9,83.0
141,2018-05-22,화,흐림,21239,7256,28495,16.3,6.5
142,2018-05-23,수,맑음,2802,3500,6302,17.6,
143,2018-05-24,목,맑음,2706,3681,6387,17.0,
144,2018-05-25,금,구름 많음,5120,3337,8457,17.8,
145,2018-05-26,토,맑음,20847,6858,27705,18.1,12.5
146,2018-05-27,일,구름 많음,24339,7905,32244,17.3,6.5
147,2018-05-28,월,구름 조금,23912,3293,27205,18.3,
148,2018-05-29,화,구름 많음,3637,5104,8741,19.7,
149,2018-05-30,수,구름 많음,4129,3174,7303,21.8,
150,2018-05-31,목,맑음,5134,21142,26276,20.3,
151,2018-06-01,금,맑음,6257,3712,9969,22.3,
152,2018-06-02,토,맑음,20225,6116,26341,21.4,1.0
153,2018-06-03,일,맑음,20260,5548,25808,20.2,0.0
154,2018-06-04,월,구름 많음,3232,2690,5922,20.9,
155,2018-06-05,화,구름 조금,4678,4349,9027,23.8,
156,2018-06-06,수,맑음,22109,7835,29944,23.4,
157,2018-06-07,목,구름 조금,3102,3069,6171,24.0,
158,2018-06-08,금,구름 조금,3315,3842,7157,22.6,
159,2018-06-09,토,흐림,13365,4671,18036,23.7,
160,2018-06-10,일,흐림,15026,4302,19328,23.0,
161,2018-06-11,월,구름 많음,1828,1798,3626,22.2,
162,2018-06-12,화,구름 조금,2997,2550,5547,21.9,
163,2018-06-13,수,구름 많음,13317,4680,17997,23.7,0.5
164,2018-06-14,목,비,962,804,1766,21.3,0.5
165,2018-06-15,금,구름 조금,2311,2051,4362,20.2,5.0
166,2018-06-16,토,구름 조금,11555,3652,15207,21.3,0.0
167,2018-06-17,일,구름 많음,9181,3073,12254,22.0,0.0
168,2018-06-18,월,맑음,1166,1266,2432,21.6,29.0
169,2018-06-19,화,구름 많음,2110,1671,3781,21.7,16.5
170,2018-06-20,수,구름 조금,1514,1698,3212,22.5,
171,2018-06-21,목,맑음,1225,1668,2893,22.8,
172,2018-06-22,금,구름 조금,14422,1600,16022,24.8,
173,2018-06-23,토,구름 많음,6410,2435,8845,22.4,
174,2018-06-24,일,맑음,4906,1647,6553,22.7,
175,2018-06-25,월,구름 많음,1180,1104,2284,23.7,
176,2018-06-26,화,비,13560,206,13766,25.0,
177,2018-06-27,수,구름 많음,944,1042,1986,24.5,
178,2018-06-28,목,구름 많음,764,1205,1969,25.2,
179,2018-06-29,금,구름 많음,7072,1028,8100,27.1,
180,2018-06-30,토,비,1998,1606,3604,22.3,71.5
181,2018-07-01,일,비,114,297,411,22.3,1.0
182,2018-07-02,월,비,105,229,334,23.3,26.5
183,2018-07-03,화,구름 많음,826,951,1777,24.7,6.5
184,2018-07-04,수,구름 많음,679,889,1568,24.4,14.5
185,2018-07-05,목,비,556,727,1283,,
186,2018-07-06,금,구름 많음,1221,1197,2418,21.9,83.5
187,2018-07-07,토,구름 많음,8313,2866,11179,22.6,59.5
188,2018-07-08,일,흐림,9309,2898,12207,27.4,0.1
189,2018-07-09,월,비,183,391,574,27.3,
190,2018-07-10,화,흐림,772,842,1614,25.3,0.5
191,2018-07-11,수,구름 많음,680,727,1407,23.9,
192,2018-07-12,목,구름 조금,1665,852,2517,23.7,
193,2018-07-13,금,구름 많음,664,692,1356,23.3,
194,2018-07-14,토,구름 조금,2638,1280,3918,20.8,14.0
195,2018-07-15,일,구름 조금,2003,1028,3031,23.7,16.5
196,2018-07-16,월,맑음,364,488,852,26.8,3.0
197,2018-07-17,화,맑음,565,574,1139,26.6,1.0
198,2018-07-18,수,맑음,14145,552,14697,27.3,
199,2018-07-19,목,맑음,346,553,899,27.9,0.0
200,2018-07-20,금,맑음,375,381,756,28.3,
201,2018-07-21,토,맑음,747,790,1537,28.7,
202,2018-07-22,일,구름 조금,690,538,1228,28.1,
203,2018-07-23,월,,295,310,605,28.2,
204,2018-07-24,화,,247,269,516,28.7,
205,2018-07-25,수,,268,383,651,29.5,
206,2018-07-26,목,,340,372,712,30.6,
207,2018-07-27,금,구름 많음,1438,392,1830,31.8,
208,2018-07-28,토,비,703,707,1410,31.7,
209,2018-07-29,일,구름 조금,1157,463,1620,31.4,
210,2018-07-30,월,구름 많음,581,356,937,30.1,
211,2018-07-31,화,구름 조금,507,813,1320,30.1,
212,2018-08-01,수,맑음,319,288,607,30.9,
213,2018-08-02,목,구름 조금,424,368,792,29.5,7.5
214,2018-08-03,금,구름 조금,524,177,701,31.3,
215,2018-08-04,토,구름 조금,975,583,1558,31.7,
216,2018-08-05,일,구름 많음,1088,602,1690,32.6,
217,2018-08-06,월,구름 많음,497,318,815,33.6,
218,2018-08-07,화,구름 많음,459,357,816,33.7,
219,2018-08-08,수,구름 많음,420,300,720,33.1,
220,2018-08-09,목,비,676,396,1072,31.1,
221,2018-08-10,금,비,432,293,725,30.0,2.0
222,2018-08-11,토,구름 조금,1421,649,2070,30.5,6.5
223,2018-08-12,일,구름 많음,2409,698,3107,30.5,
224,2018-08-13,월,구름 많음,532,333,865,31.0,
225,2018-08-14,화,구름 많음,599,344,943,28.8,2.0
226,2018-08-15,수,구름 많음,1227,563,1790,30.7,
227,2018-08-16,목,구름 조금,383,372,755,31.0,
228,2018-08-17,금,맑음,1149,541,1690,30.6,5.0
229,2018-08-18,토,구름 조금,5675,2181,7856,30.5,1.0
230,2018-08-19,일,구름 많음,5613,1707,7320,31.7,
231,2018-08-20,월,구름 많음,794,521,1315,31.7,1.0
232,2018-08-21,화,구름 많음,653,532,1185,29.9,
233,2018-08-22,수,구름 조금,1020,481,1501,27.2,
234,2018-08-23,목,비,227,293,520,26.7,
235,2018-08-24,금,비,257,223,480,28.2,
236,2018-08-25,토,구름 많음,7588,2670,10258,29.1,0.0
237,2018-08-26,일,비,3683,1743,5426,26.6,5.0
238,2018-08-27,월,비,238,311,549,30.7,
239,2018-08-28,화,비,86,558,644,29.4,3.0
240,2018-08-29,수,비,3963,379,4342,24.4,7.5
241,2018-08-30,목,구름 많음,561,505,1066,25.2,
242,2018-08-31,금,구름 많음,1251,1122,2373,23.2,2.0
243,2018-09-01,토,구름 조금,10306,4876,15182,22.7,19.5
244,2018-09-02,일,구름 많음,12283,3258,15541,23.7,96.5
245,2018-09-03,월,비,183,501,684,25.2,42.0
246,2018-09-04,화,구름 조금,1122,1089,2211,25.3,9.5
247,2018-09-05,수,맑음,1716,1194,2910,25.6,0.1
248,2018-09-06,목,구름 많음,1221,1162,2383,25.5,
249,2018-09-07,금,구름 조금,2068,1402,3470,25.1,
250,2018-09-08,토,맑음,17054,5049,22103,23.3,34.5
251,2018-09-09,일,구름 조금,16753,6449,23202,23.2,
252,2018-09-10,월,구름 조금,2233,1096,3329,24.0,
253,2018-09-11,화,구름 많음,1636,1910,3546,24.1,1.0
254,2018-09-12,수,구름 조금,1670,1362,3032,22.0,0.5
255,2018-09-13,목,구름 많음,1420,1762,3182,21.7,
256,2018-09-14,금,흐림,1480,1631,3111,22.2,
257,2018-09-15,토,흐림,7084,3602,10686,22.9,
258,2018-09-16,일,흐림,6738,2310,9048,21.6,
259,2018-09-17,월,맑음,1667,1344,3011,22.8,
260,2018-09-18,화,구름 많음,1739,1571,3310,23.5,
261,2018-09-19,수,구름 많음,5846,1487,7333,23.5,0.5
262,2018-09-20,목,흐림,1175,521,1696,23.3,0.2
263,2018-09-21,금,흐림,327,414,741,22.2,2.0
264,2018-09-22,토,맑음,10785,3516,14301,22.3,0.1
265,2018-09-23,일,구름 많음,10061,3004,13065,22.0,
266,2018-09-24,월,맑음,15565,4096,19661,22.1,0.2
267,2018-09-25,화,맑음,23063,6495,29558,19.0,5.0
268,2018-09-26,수,구름 조금,15663,5468,21131,19.4,18.0
269,2018-09-27,목,,3363,1790,5153,20.8,6.5
270,2018-09-28,금,,3631,2279,5910,19.4,0.0
271,2018-09-29,토,,15592,6697,22289,17.6,
272,2018-09-30,일,,15058,4810,19868,17.8,
273,2018-10-01,월,구름 많음,1518,1689,3207,19.4,
274,2018-10-02,화,맑음,2028,2835,4863,18.9,
275,2018-10-03,수,맑음,20659,6790,27449,17.5,
276,2018-10-04,목,구름 조금,1860,2299,4159,20.2,
277,2018-10-05,금,비,935,491,1426,17.6,
278,2018-10-06,토,비,913,442,1355,,
279,2018-10-07,일,구름 조금,16157,5903,22060,15.4,0.0
280,2018-10-08,월,구름 조금,7914,3697,11611,15.9,
281,2018-10-09,화,구름 많음,19382,8132,27514,17.3,
282,2018-10-10,수,구름 조금,1752,1632,3384,19.3,
283,2018-10-11,목,구름 조금,2264,2807,5071,16.9,36.5
284,2018-10-12,금,맑음,4783,3512,8295,18.0,55.5
285,2018-10-13,토,맑음,12039,4602,16641,16.4,
286,2018-10-14,일,구름 많음,13028,4734,17762,14.8,
287,2018-10-15,월,맑음,6105,1475,7580,15.3,0.0
288,2018-10-16,화,구름 많음,2597,2264,4861,12.0,7.0
289,2018-10-17,수,맑음,2754,3149,5903,9.7,
290,2018-10-18,목,비,2686,2460,5146,10.9,
291,2018-10-19,금,,8266,3119,11385,12.5,
292,2018-10-20,토,,16658,5857,22515,13.2,
293,2018-10-21,일,,15861,5505,21366,15.2,
294,2018-10-22,월,,2265,2190,4455,14.5,
295,2018-10-23,화,비,1350,1055,2405,12.4,
296,2018-10-24,수,맑음,2693,2547,5240,12.7,
297,2018-10-25,목,구름 조금,3396,3266,6662,13.1,
298,2018-10-26,금,비,13684,602,14286,13.4,
299,2018-10-27,토,구름 많음,14941,6620,21561,13.4,
300,2018-10-28,일,비,3568,1348,4916,14.0,
301,2018-10-29,월,구름 많음,1550,1792,3342,12.2,5.0
302,2018-10-30,화,구름 조금,1727,2059,3786,12.5,
303,2018-10-31,수,맑음,3799,1931,5730,13.8,
304,2018-11-01,목,맑음,1581,2342,3923,12.2,11.0
305,2018-11-02,금,맑음,3208,1944,5152,8.7,
306,2018-11-03,토,맑음,11573,5053,16626,8.3,5.5
307,2018-11-04,일,구름 조금,12125,3778,15903,7.2,0.0
308,2018-11-05,월,구름 조금,1342,1438,2780,6.1,0.0
309,2018-11-06,화,구름 많음,838,1270,2108,7.4,0.0
310,2018-11-07,수,흐림,558,763,1321,8.4,
311,2018-11-08,목,비,249,327,576,10.6,
312,2018-11-09,금,구름 조금,1727,1195,2922,11.2,
313,2018-11-10,토,맑음,4053,2180,6233,11.6,
314,2018-11-11,일,비,3750,1454,5204,11.9,
315,2018-11-12,월,맑음,1129,1187,2316,12.2,
316,2018-11-13,화,맑음,896,1348,2244,12.8,2.0
317,2018-11-14,수,맑음,970,1249,2219,11.8,64.0
318,2018-11-15,목,구름 많음,971,940,1911,12.1,1.0
319,2018-11-16,금,구름 많음,750,876,1626,11.9,0.0
320,2018-11-17,토,구름 많음,4722,1937,6659,8.1,0.0
321,2018-11-18,일,구름 많음,4689,1715,6404,8.1,
322,2018-11-19,월,구름 조금,584,799,1383,8.8,
323,2018-11-20,화,맑음,508,919,1427,9.8,
324,2018-11-21,수,비,315,578,893,9.7,
325,2018-11-22,목,맑음,4251,713,4964,8.8,
326,2018-11-23,금,맑음,466,742,1208,4.9,
327,2018-11-24,토,구름 많음,700,704,1404,6.1,
328,2018-11-25,일,구름 조금,2318,1381,3699,6.5,
329,2018-11-26,월,맑음,439,730,1169,6.5,0.2
330,2018-11-27,화,구름 많음,297,626,923,5.8,1.0
331,2018-11-28,수,구름 조금,241,654,895,2.3,
332,2018-11-29,목,구름 많음,7705,767,8472,1.9,
333,2018-11-30,금,구름 조금,398,589,987,2.6,10.9
334,2018-12-01,토,맑음,2440,1565,4005,4.8,
335,2018-12-02,일,흐림,2221,1160,3381,6.3,
336,2018-12-03,월,흐림,55,301,356,7.1,
337,2018-12-04,화,구름 많음,144,466,610,5.0,
338,2018-12-05,수,구름 많음,213,602,815,3.5,0.0
339,2018-12-06,목,구름 많음,185,693,878,2.7,
340,2018-12-07,금,구름 조금,130,310,440,,
341,2018-12-08,토,구름 조금,323,484,807,5.5,
342,2018-12-09,일,구름 조금,263,545,808,8.2,
343,2018-12-10,월,맑음,125,428,553,11.5,9.5
344,2018-12-11,화,흐림,326,671,997,6.7,5.0
345,2018-12-12,수,맑음,1552,537,2089,0.0,
346,2018-12-13,목,구름 조금,464,390,854,2.4,0.0
347,2018-12-14,금,맑음,96,360,456,-7.3,
348,2018-12-15,토,구름 조금,594,787,1381,-8.3,
349,2018-12-16,일,흐림,429,705,1134,-7.2,
350,2018-12-17,월,맑음,159,497,656,-2.5,
351,2018-12-18,화,구름 조금,177,684,861,0.2,
352,2018-12-19,수,구름 조금,207,602,809,-1.9,
353,2018-12-20,목,구름 조금,269,607,876,-2.2,1.3
354,2018-12-21,금,구름 많음,1102,528,1630,-4.4,
355,2018-12-22,토,구름 조금,972,1010,1982,-2.4,
356,2018-12-23,일,맑음,1638,1310,2948,0.0,0.3
357,2018-12-24,월,맑음,499,483,982,1.6,0.3
358,2018-12-25,화,흐림,1709,693,2402,2.6,
359,2018-12-26,수,구름 조금,250,502,752,4.0,
360,2018-12-27,목,맑음,3498,445,3943,3.4,
361,2018-12-28,금,맑음,70,287,357,5.6,
362,2018-12-29,토,맑음,238,496,734,6.9,
363,2018-12-30,일,맑음,449,466,915,2.4,
364,2018-12-31,월,맑음,390,444,834,-2.3,
365,2019-01-01,화,구름 조금,919,605,1524,-5.0,
366,2019-01-02,수,맑음,175,459,634,-4.9,
367,2019-01-03,목,맑음,182,595,777,-3.5,
368,2019-01-04,금,구름 많음,181,509,690,-1.1,
369,2019-01-05,토,,740,861,1601,-2.8,
370,2019-01-06,일,,1013,1044,2057,-2.8,
371,2019-01-07,월,,213,560,773,-1.9,
372,2019-01-08,화,,152,652,804,-3.5,
373,2019-01-09,수,구름 많음,100,429,529,-4.7,
374,2019-01-10,목,구름 많음,203,636,839,-0.6,
375,2019-01-11,금,,248,566,814,2.4,
376,2019-01-12,토,맑음,839,1016,1855,2.8,
377,2019-01-13,일,,887,793,1680,1.2,
378,2019-01-14,월,,112,321,433,1.4,
379,2019-01-15,화,,119,374,493,-1.7,0.0
380,2019-01-16,수,맑음,169,505,674,-5.2,0.0
381,2019-01-17,목,맑음,544,676,1220,-0.3,0.0
382,2019-01-18,금,맑음,238,572,810,0.6,
383,2019-01-19,토,흐림,886,852,1738,3.6,
384,2019-01-20,일,맑음,1139,925,2064,-1.4,
385,2019-01-21,월,구름 조금,214,517,731,-1.2,0.0
386,2019-01-22,화,구름 조금,300,688,988,1.7,
387,2019-01-23,수,맑음,213,543,756,2.0,
388,2019-01-24,목,구름 조금,290,720,1010,0.1,
389,2019-01-25,금,,256,626,882,-1.2,
390,2019-01-26,토,,885,1138,2023,-2.5,
391,2019-01-27,일,,1400,991,2391,-0.1,
392,2019-01-28,월,,223,480,703,1.2,0.0
393,2019-01-29,화,구름 조금,313,625,938,-0.2,
394,2019-01-30,수,구름 많음,215,501,716,1.8,
395,2019-01-31,목,구름 많음,1089,535,1624,-2.0,
396,2019-02-01,금,맑음,168,458,626,-2.1,0.3
397,2019-02-02,토,구름 많음,780,850,1630,1.4,0.0
398,2019-02-03,일,비,148,257,405,3.3,16.0
399,2019-02-04,월,,1883,667,2550,-0.6,
400,2019-02-05,화,,3064,791,3855,2.8,
401,2019-02-06,수,,2453,1593,4046,5.1,
402,2019-02-07,목,구름 조금,433,563,996,-2.1,0.5
403,2019-02-08,금,,395,376,771,-6.1,
404,2019-02-09,토,맑음,910,861,1771,-5.4,
405,2019-02-10,일,구름 많음,849,803,1652,-5.0,
406,2019-02-11,월,맑음,231,501,732,-3.0,
407,2019-02-12,화,구름 조금,270,771,1041,-0.6,0.0
408,2019-02-13,수,맑음,254,663,917,-2.1,
409,2019-02-14,목,구름 많음,706,584,1290,-0.5,
410,2019-02-15,금,흐림,130,457,587,-0.8,2.2
411,2019-02-16,토,맑음,987,902,1889,-2.7,0.2
412,2019-02-17,일,맑음,1788,1046,2834,-1.8,
413,2019-02-18,월,,520,564,1084,0.9,
414,2019-02-19,화,,106,408,514,1.4,4.6
415,2019-02-20,수,,250,582,832,1.7,0.0
416,2019-02-21,목,맑음,374,624,998,2.4,
417,2019-02-22,금,구름 많음,373,632,1005,4.0,
418,2019-02-23,토,맑음,2638,1448,4086,6.8,
419,2019-02-24,일,,5261,2205,7466,6.3,
420,2019-02-25,월,,750,678,1428,4.7,
421,2019-02-26,화,,1273,1012,2285,5.2,
422,2019-02-27,수,구름 많음,1716,879,2595,7.8,
423,2019-02-28,목,구름 조금,1210,925,2135,6.6,
424,2019-03-01,금,,4730,1534,6264,,
425,2019-03-02,토,,4064,1427,5491,,
426,2019-03-03,일,,3160,1233,4393,,
427,2019-03-04,월,,356,466,822,6.6,
428,2019-03-05,화,구름 많음,213,436,649,7.8,
429,2019-03-06,수,구름 많음,130,383,513,9.4,
430,2019-03-07,목,,516,680,1196,9.9,
431,2019-03-08,금,,792,830,1622,8.4,
432,2019-03-09,토,,12602,5231,17833,8.4,
433,2019-03-10,일,,6387,2867,9254,7.0,
434,2019-03-11,월,,420,605,1025,6.1,
435,2019-03-12,화,,741,585,1326,7.2,
436,2019-03-13,수,,361,703,1064,10.1,
437,2019-03-14,목,,492,859,1351,6.6,0.0
438,2019-03-15,금,눈/비,397,566,963,3.9,0.0
439,2019-03-16,토,구름 많음,5645,3077,8722,3.5,0.0
440,2019-03-17,일,,12169,3549,15718,5.0,0.0
441,2019-03-18,월,,1055,890,1945,5.5,3.5
442,2019-03-19,화,,973,1104,2077,4.3,
443,2019-03-20,수,흐림,253,506,759,6.3,
444,2019-03-21,목,구름 많음,446,698,1144,7.1,
445,2019-03-22,금,맑음,668,809,1477,10.0,
446,2019-03-23,토,눈/비,2097,1465,3562,10.3,16.5
447,2019-03-24,일,맑음,10039,2748,12787,7.1,3.3
448,2019-03-25,월,구름 많음,768,770,1538,3.3,
449,2019-03-26,화,구름 조금,791,953,1744,3.3,1.7
450,2019-03-27,수,구름 많음,504,613,1117,4.3,
451,2019-03-28,목,구름 많음,761,904,1665,7.3,
452,2019-03-29,금,구름 조금,1644,1226,2870,11.4,
453,2019-03-30,토,흐림,1539,913,2452,11.6,
454,2019-03-31,일,구름 조금,3061,1357,4418,9.4,
455,2019-04-01,월,구름 조금,1064,812,1876,9.2,
456,2019-04-02,화,구름 조금,1020,1061,2081,5.2,1.8
457,2019-04-03,수,맑음,2749,1208,3957,4.4,0.0
458,2019-04-04,목,맑음,1630,1430,3060,5.5,
459,2019-04-05,금,맑음,2991,1109,4100,6.7,
460,2019-04-06,토,비,8490,2782,11272,7.6,
461,2019-04-07,일,구름 조금,24842,7082,31924,9.2,
462,2019-04-08,월,맑음,3885,1616,5501,11.4,0.0
463,2019-04-09,화,비,1388,1641,3029,9.3,0.8
464,2019-04-10,수,흐림,973,1151,2124,12.6,
465,2019-04-11,목,구름 많음,5834,2743,8577,11.6,
466,2019-04-12,금,맑음,5313,3983,9296,9.2,17.4
467,2019-04-13,토,구름 많음,29273,9927,39200,7.1,5.6
468,2019-04-14,일,흐림,3675,1342,5017,9.5,
469,2019-04-15,월,맑음,3835,2721,6556,11.4,
470,2019-04-16,화,구름 많음,3146,3836,6982,11.8,
471,2019-04-17,수,맑음,3198,2842,6040,9.6,1.7
472,2019-04-18,목,,1905,2886,4791,11.6,
473,2019-04-19,금,,3354,3140,6494,14.9,
474,2019-04-20,토,,21975,7444,29419,15.3,
475,2019-04-21,일,,15243,4631,19874,12.6,0.0
476,2019-04-22,월,맑음,2811,1634,4445,13.8,
477,2019-04-23,화,흐림,1900,2005,3905,14.3,1.2
