날짜,요일,날씨,총계,평균기온(℃),강수량(mm)
08-12,수,흐림,2017,24.2,0.0
08-13,목,흐림,1547,24.9,0.0
08-14,금,비,953,26.5,0.0
08-15,토,비,1162,24.6,0.0
08-16,일,흐림,6705,27.2,6.5
08-17,월,구름 많음,3880,28.0,0.0
08-18,화,맑음,801,27.1,0.0
08-19,수,맑음,1599,26.1,0.0
08-20,목,맑음,556,27.4,0.0
08-21,금,비,507,28.2,20.0
08-22,토,소나기,976,27.5,0.0
08-23,일,맑음,1923,27.1,0.0
08-24,월,구름 많음,571,27.7,0.0
08-25,화,구름 많음,504,26.6,0.0
08-26,수,구름 많음,445,24.3,0.0
08-27,목,흐림,323,25.3,6.5
08-28,금,소나기,439,27.8,0.0
08-29,토,소나기,756,29.9,0.0
08-30,일,흐림,1491,30.2,0.0
08-31,월,흐림,757,27.1,0.0
09-01,화,흐림,910,27.3,0.0
09-02,수,비,265,26.8,0.0
09-03,목,비,4967,26.8,42.5
09-04,금,구름 조금,1984,26.4,0.0
09-05,토,구름 조금,4480,26.6,0.0
09-06,일,비,3416,24.3,33.3
09-07,월,비,76,22.7,29.8
09-08,화,맑음,2201,23.3,0.0
09-09,수,맑음,1003,23.3,0.0
09-10,목,구름 많음,2243,21.7,6.4
09-11,금,비,1557,19.2,61.0
09-12,토,구름 조금,2947,23.4,0.0
09-13,일,구름 조금,12859,21.1,1.3
09-14,월,구름 많음,2085,22.8,3.9
09-15,화,구름 조금,2066,22.4,1.2
09-16,수,구름 많음,820,20.2,5.7
09-17,목,맑음,1990,21.5,0.0
09-18,금,구름 조금,3086,21.3,0.0
09-19,토,맑음,12178,23.0,0.0
09-20,일,구름 조금,13140,22.5,0.3
09-21,월,맑음,2247,21.3,0.0
09-22,화,맑음,2214,21.5,0.0
09-23,수,구름 조금,2052,21.2,0.3
09-24,목,맑음,2298,19.7,0.0
09-25,금,맑음,2335,19.1,0.0
09-26,토,맑음,13447,20.2,0.0
09-27,일,맑음,16860,19.2,0.0
09-28,월,맑음,2594,20.6,0.0
09-29,화,맑음,2608,20.1,0.0
09-30,수,맑음,8986,19.3,0.0
10-01,목,맑음,12365,20.4,0.0
10-02,금,맑음,14323,20.7,0.0
10-03,토,맑음,17995,19.6,0.0
10-04,일,비,12932,19.6,38.3
10-05,월,맑음,2634,13.70737018425461,0.0
10-06,화,맑음,2407,18.8,0.0
10-07,수,구름 조금,2600,19.2,0.0
10-08,목,구름 조금,3057,19.9,0.0
10-09,금,구름 조금,20177,16.6,0.0
10-10,토,맑음,16405,13.3,0.0
10-11,일,맑음,16264,14.2,0.0
10-12,월,맑음,2757,16.0,0.0
10-13,화,맑음,2857,17.2,0.0
10-14,수,맑음,2933,17.2,0.0
10-15,목,맑음,4093,16.9,0.0
10-16,금,맑음,2772,16.9,0.0
10-17,토,맑음,16441,16.2,0.0
10-18,일,맑음,19461,13.6,0.0
10-19,월,맑음,3141,12.8,0.0
10-20,화,맑음,3559,11.7,0.0
10-21,수,맑음,3093,11.8,0.0
10-22,목,맑음,2704,13.1,0.0
10-23,금,맑음,4009,13.6,0.0
10-24,토,맑음,16500,15.1,0.0
10-25,일,맑음,19042,15.2,0.0
10-26,월,맑음,4035,14.1,0.0
10-27,화,구름 조금,3842,13.5,0.0
10-28,수,맑음,11655,8.6,0.0
10-29,목,맑음,4267,8.7,0.0
10-30,금,맑음,4856,11.8,0.0
10-31,토,맑음,20185,12.9,0.0
11-01,일,맑음,2763,14.0,0.0
11-02,월,맑음,3832,13.8,0.0
11-03,화,맑음,2520,10.8,0.0
11-04,수,맑음,2146,11.9,0.0
11-05,목,맑음,3091,13.6,0.0
11-06,금,흐림,2812,13.7,13.6
11-07,토,구름 조금,12821,10.8,1.7
11-08,일,구름 조금,14694,5.1,0.5
11-09,월,맑음,1919,4.9,0.0
11-10,화,맑음,2248,9.6,0.0
11-11,수,맑음,2747,13.5,0.0
11-12,목,구름 조금,2673,14.6,0.1
11-13,금,맑음,3375,8.5,0.0
11-14,토,맑음,9802,5.5,0.0
11-15,일,맑음,9447,7.7,0.0
11-16,월,맑음,1811,9.3,0.0
11-17,화,맑음,1685,10.4,0.0
11-18,수,맑음,809,12.2,0.0
11-19,목,맑음,256,12.5,0.0
11-20,금,맑음,976,11.1,0.0
11-21,토,맑음,4101,12.4,0.0
11-22,일,구름 조금,2557,15.9,0.1
11-23,월,흐림,762,16.6,12.2
11-24,화,비,819,13.6,86.9
11-25,수,구름 조금,911,2.8,0.0
11-26,목,구름 조금,10031,6.5,0.2
11-27,금,구름 많음,784,5.6,4.8
11-28,토,맑음,1651,1.7,0.0
11-29,일,맑음,9912,2.9,0.0
11-30,월,맑음,576,4.6,0.0
12-01,화,맑음,727,5.6,0.0
12-02,수,구름 조금,628,4.1,0.0
12-03,목,맑음,614,-0.1,0.0
12-04,금,맑음,678,-0.6,0.0
12-05,토,맑음,1701,-0.2,0.0
12-06,일,맑음,2385,13.70737018425461,0.0
12-07,월,맑음,928,1.1,0.0
12-08,화,맑음,591,2.4,0.0
12-09,수,맑음,615,0.7,0.0
12-10,목,맑음,683,-0.6,0.0
12-11,금,맑음,7810,2.1,0.0
12-12,토,맑음,1641,4.5,0.0
12-13,일,맑음,644,3.4,0.0
12-14,월,맑음,217,-0.5,0.0
12-15,화,맑음,101,1.5,0.0
12-16,수,구름 조금,114,5.8,0.0
12-17,목,맑음,133,5.3,0.0
12-18,금,맑음,230,2.3,0.0
12-19,토,구름 많음,380,-1.1,2.9
12-20,일,맑음,696,-7.7,0.0
12-21,월,맑음,231,-8.3,0.0
12-22,화,맑음,282,-8.3,0.0
12-23,수,구름 조금,288,-4.9,0.0
12-24,목,구름 조금,347,-2.1,0.2
12-25,금,맑음,1058,-5.1,0.0
12-26,토,맑음,1356,-3.7,0.0
12-27,일,맑음,1876,-1.0,0.0
12-28,월,맑음,802,2.0,0.0
12-29,화,구름 조금,244,4.5,0.0
12-30,수,맑음,72,2.6,0.0
12-31,목,맑음,139,-0.8,0.0
01-01,금,맑음,633,-4.2,0.0
01-02,토,맑음,928,-5.0,0.0
01-03,일,맑음,625,-5.6,0.0
01-04,월,구름 조금,199,-3.5,0.0
01-05,화,구름 조금,162,-5.5,0.0
01-06,수,구름 조금,265,-7.4,2.3
01-07,목,맑음,74,-14.5,0.0
01-08,금,맑음,63,-14.9,0.0
01-09,토,맑음,165,-12.2,0.0
01-10,일,맑음,527,-7.7,0.0
01-11,월,맑음,103,-6.7,0.0
01-12,화,구름 많음,176,-3.9,2.6
01-13,수,구름 조금,851,2.0,0.0
01-14,목,맑음,446,1.7,0.0
01-15,금,구름 조금,283,4.5,0.2
01-16,토,맑음,1147,-4.9,0.0
01-17,일,구름 조금,771,-5.5,0.0
01-18,월,구름 조금,87,-3.8,0.3
01-19,화,맑음,158,-6.3,0.0
01-20,수,맑음,398,-0.1,0.0
01-21,목,흐림,200,4.5,9.2
01-22,금,구름 조금,343,5.5,0.1
01-23,토,맑음,4556,7.6,0.0
01-24,일,맑음,8227,7.3,0.0
01-25,월,맑음,1132,7.9,0.0
01-26,화,구름 조금,218,5.3,1.7
01-27,수,맑음,745,1.7,0.0
01-28,목,구름 조금,119,-2.6,2.0
01-29,금,맑음,107,-8.8,0.0
01-30,토,구름 조금,1503,-1.6,0.5
01-31,일,맑음,4007,3.2,0.0
02-01,월,구름 조금,515,5.0,0.7
02-02,화,구름 조금,192,-5.6,0.0
02-03,수,구름 많음,208,-3.2,3.4
02-04,목,구름 조금,244,-3.6,0.1
02-05,금,맑음,361,1.4,0.0
02-06,토,맑음,3512,6.8,0.0
02-07,일,맑음,2477,3.6,0.0
02-08,월,맑음,246,-3.1,0.0
02-09,화,맑음,371,-0.9,0.0
02-10,수,맑음,682,3.4,0.0
02-11,목,맑음,3950,5.5,0.0
02-12,금,맑음,5530,6.5,0.0
02-13,토,맑음,7588,7.6,0.0
02-14,일,구름 조금,4395,9.5,0.0
02-15,월,구름 조금,456,1.2,1.4
02-16,화,구름 조금,101,-5.1,1.5
02-17,수,구름 조금,116,-8.3,0.0
02-18,목,맑음,165,-5.8,0.0
02-19,금,맑음,1643,1.6,0.0
02-20,토,맑음,6203,8.8,0.0
02-21,일,맑음,11897,10.8,0.0
02-22,월,맑음,1585,7.8,0.0
02-23,화,맑음,734,0.0,0.0
02-24,수,맑음,1212,2.9,0.0
02-25,목,맑음,1167,4.2,0.0
02-26,금,맑음,2913,8.2,0.0
02-27,토,맑음,11624,9.5,0.0
02-28,일,맑음,15378,7.8,0.0
03-01,월,맑음,113,13.70737018425461,0.0
03-02,화,맑음,641,13.70737018425461,0.0
03-03,수,맑음,836,13.70737018425461,0.0
03-04,목,비,616,4.7,67.5
03-05,금,구름 조금,1373,2.3,0.1
03-06,토,맑음,10282,4.4,0.0
03-07,일,맑음,11425,7.2,0.0
03-08,월,맑음,1149,9.0,0.0
03-09,화,맑음,1034,6.6,0.0
03-10,수,맑음,1260,6.2,0.0
03-11,목,맑음,2395,7.0,0.0
03-12,금,맑음,347,6.6,0.0
03-13,토,맑음,10069,8.8,0.0
03-14,일,맑음,8828,10.2,0.0
03-15,월,구름 조금,916,10.5,0.0
03-16,화,맑음,706,9.2,0.0
03-17,수,맑음,1078,9.1,0.0
03-18,목,구름 조금,1242,10.6,1.7
03-19,금,구름 조금,1687,8.4,1.3
03-20,토,맑음,801,8.8,0.0
03-21,일,맑음,10370,11.7,0.0
03-22,월,맑음,1088,15.3,0.0
03-23,화,구름 많음,1086,9.9,5.1
03-24,수,구름 조금,1101,5.8,0.3
03-25,목,맑음,1628,6.2,0.0
03-26,금,맑음,1453,9.1,0.0
03-27,토,맑음,1291,10.8,0.0
03-28,일,맑음,2007,11.9,0.0
03-29,월,맑음,802,12.6,0.0
03-30,화,비,1616,12.1,25.5
03-31,수,흐림,3512,9.0,9.2
04-01,목,구름 조금,4433,10.2,0.2
04-02,금,맑음,5286,10.8,0.0
04-03,토,맑음,491,14.5,0.0
04-04,일,맑음,15169,17.7,0.0
04-05,월,구름 조금,4368,17.8,0.0
04-06,화,비,3724,14.9,56.2
04-07,수,구름 조금,4132,11.9,0.6
04-08,목,맑음,3214,11.9,0.0
04-09,금,맑음,5688,13.9,0.0
04-10,토,맑음,21369,14.1,0.0
04-11,일,맑음,20591,13.0,0.0
04-12,월,맑음,319,13.6,0.0
04-13,화,맑음,1458,12.6,0.0
04-14,수,맑음,2003,15.0,0.0
04-15,목,비,2301,13.8,22.0
04-16,금,흐림,585,10.4,8.0
04-17,토,맑음,5544,8.4,0.0
04-18,일,맑음,23276,11.6,0.0
04-19,월,구름 조금,2765,11.3,0.7
04-20,화,구름 조금,2360,9.6,0.0
04-21,수,맑음,2341,9.9,0.0
04-22,목,맑음,1817,12.2,0.0
04-23,금,맑음,2214,14.8,0.0
04-24,토,맑음,15031,19.1,0.0
04-25,일,맑음,17717,20.9,0.0
04-26,월,구름 조금,2483,19.0,0.0
04-27,화,구름 조금,1771,18.3,0.0
04-28,수,맑음,1459,18.2,0.0
04-29,목,맑음,1594,16.2,0.0
04-30,금,구름 조금,1259,15.4,1.7
05-01,토,구름 많음,5173,14.5,4.7
05-02,일,구름 많음,17650,14.6,3.9
05-03,월,비,5302,11.3,26.3
05-04,화,맑음,536,13.70737018425461,0.0
05-05,수,흐림,46206,10.2,8.0
05-06,목,구름 조금,5036,12.4,1.7
05-07,금,맑음,1287,14.1,0.0
05-08,토,흐림,3533,13.8,19.6
05-09,일,구름 조금,12740,13.9,0.1
05-10,월,맑음,322,15.7,0.0
05-11,화,흐림,4631,14.4,8.8
05-12,수,맑음,2227,14.3,0.0
05-13,목,맑음,2823,15.7,0.0
05-14,금,구름 조금,3140,13.2,0.0
05-15,토,맑음,2672,18.5,0.0
05-16,일,맑음,426,22.0,0.0
05-17,월,맑음,542,22.9,0.0
05-18,화,맑음,3884,24.1,0.0
05-19,수,흐림,24671,22.1,15.0
05-20,목,비,1304,18.4,66.9
05-21,금,구름 많음,1711,15.3,3.1
05-22,토,맑음,19649,17.9,0.0
05-23,일,맑음,17161,19.9,0.0
05-24,월,구름 조금,3989,18.7,0.9
05-25,화,흐림,2173,16.0,6.9
05-26,수,구름 조금,4690,18.6,0.2
05-27,목,맑음,1004,19.5,0.0
05-28,금,맑음,1298,19.4,0.0
05-29,토,흐림,12491,15.3,8.3
05-30,일,구름 조금,30143,18.0,0.0
05-31,월,흐림,3012,15.8,8.9
06-01,화,흐림,3165,15.3,12.3
06-02,수,구름 조금,3384,15.4,0.3
06-03,목,흐림,701,18.4,18.1
06-04,금,구름 많음,4275,19.9,4.0
06-05,토,구름 많음,14463,20.2,3.2
06-06,일,맑음,13620,23.2,0.0
06-07,월,흐림,2734,19.1,18.1
06-08,화,맑음,3985,18.5,0.0
06-09,수,맑음,1902,20.8,0.0
06-10,목,맑음,1877,23.0,0.0
06-11,금,구름 조금,1625,21.1,0.0
06-12,토,구름 조금,8613,23.6,0.1
06-13,일,맑음,7449,25.8,0.0
06-14,월,구름 많음,1715,24.9,6.1
06-15,화,구름 많음,842,21.5,4.6
06-16,수,맑음,2153,24.2,0.0
06-17,목,맑음,1760,24.8,0.0
06-18,금,맑음,612,24.8,0.0
06-19,토,구름 조금,9749,22.5,1.9
06-20,일,맑음,8337,24.3,0.0
06-21,월,구름 조금,1609,21.9,0.0
06-22,화,구름 많음,1406,20.0,6.3
06-23,수,맑음,948,22.3,0.0
06-24,목,맑음,1303,22.9,0.0
06-25,금,맑음,1821,23.6,0.0
06-26,토,구름 조금,6151,22.8,0.0
06-27,일,흐림,23485,22.4,7.5
06-28,월,맑음,710,23.0,0.0
06-29,화,맑음,1089,24.1,0.0
06-30,수,구름 많음,663,22.8,4.5
07-01,목,비,894,24.5,38.2
07-02,금,구름 조금,1050,23.7,0.1
07-03,토,흐림,2370,23.9,8.0
07-04,일,구름 많음,1094,24.3,6.0
07-05,월,맑음,1459,13.70737018425461,0.0
07-06,화,맑음,1235,26.3,0.0
07-07,수,맑음,719,27.1,0.0
07-08,목,비,597,22.6,60.0
07-09,금,비,758,21.4,21.4
07-10,토,맑음,2216,23.3,0.0
07-11,일,맑음,1731,25.3,0.0
07-12,월,흐림,596,26.4,12.7
07-13,화,구름 많음,516,26.0,2.9
07-14,수,구름 조금,473,25.5,0.0
07-15,목,구름 조금,391,25.9,0.5
07-16,금,구름 조금,344,25.7,0.4
07-17,토,맑음,1315,28.1,0.0
07-18,일,맑음,1424,28.8,0.0
07-19,월,맑음,345,29.7,0.0
07-20,화,구름 조금,1987,29.1,0.0
07-21,수,맑음,277,28.8,0.0
07-22,목,구름 조금,264,29.1,0.0
07-23,금,맑음,238,29.6,0.0
07-24,토,비,578,26.4,67.4
07-25,일,구름 조금,9812,27.9,0.0
07-26,월,맑음,399,30.5,0.0
07-27,화,맑음,246,31.2,0.0
07-28,수,맑음,281,31.2,0.0
07-29,목,맑음,475,31.7,0.0
07-30,금,맑음,446,31.5,0.0
07-31,토,맑음,1157,31.2,0.0
08-01,일,맑음,1176,31.1,0.0
08-02,월,구름 조금,1191,30.4,0.0
08-03,화,맑음,1326,29.6,0.0
08-04,수,맑음,986,30.5,0.0
08-05,목,구름 많음,1495,29.8,3.0
08-06,금,비,757,27.1,21.0
08-07,토,구름 조금,2232,26.5,1.7
08-08,일,구름 조금,2267,28.0,0.0
08-09,월,맑음,816,28.9,0.0
08-10,화,맑음,608,29.4,0.0
08-11,수,맑음,682,28.1,0.0
08-12,목,맑음,779,28.0,0.0
08-13,금,흐림,1184,26.8,12.7
08-14,토,맑음,5347,28.3,0.0
08-15,일,맑음,7148,27.7,0.0
08-16,월,구름 조금,5792,27.4,0.0
08-17,화,구름 조금,1312,26.8,0.0
08-18,수,맑음,889,26.6,0.0
08-19,목,맑음,1721,26.1,0.0
08-20,금,맑음,1339,26.9,0.0
08-21,토,구름 조금,1164,27.3,0.0
08-22,일,흐림,8136,25.9,9.3
08-23,월,구름 많음,409,24.3,5.6
08-24,화,맑음,239,26.0,0.0
08-25,수,구름 조금,1696,26.6,0.0
08-26,목,비,1299,23.8,62.8
08-27,금,구름 조금,381,24.4,0.0
08-28,토,흐림,11137,22.4,7.4
08-29,일,흐림,9178,23.4,10.5
08-30,월,구름 조금,1723,25.0,0.3
08-31,화,구름 조금,242,25.5,0.7
09-01,수,구름 조금,631,22.4,0.9
09-02,목,맑음,1566,23.6,0.0
09-03,금,구름 조금,2412,23.7,0.9
09-04,토,구름 조금,15612,24.2,0.0
09-05,일,비,15370,20.5,77.4
09-06,월,구름 조금,1595,21.4,0.8
09-07,화,맑음,137,23.5,0.0
09-08,수,맑음,1673,24.3,0.0
09-09,목,맑음,1889,23.2,0.0
09-10,금,맑음,3842,23.1,0.0
09-11,토,흐림,11735,22.3,12.0
09-12,일,비,12755,19.6,29.6
09-13,월,구름 조금,1442,22.2,1.6
09-14,화,맑음,1405,23.5,0.0
09-15,수,맑음,1313,23.6,0.0
09-16,목,맑음,1336,24.0,0.0
09-17,금,맑음,1335,24.2,0.0
09-18,토,맑음,9152,24.8,0.0
09-19,일,맑음,12678,24.6,0.0
09-20,월,맑음,19167,23.6,0.0
09-21,화,맑음,7751,22.9,0.0
09-22,수,맑음,10551,23.5,0.0
09-23,목,맑음,4100,23.9,0.0
09-24,금,맑음,3257,23.7,0.0
09-25,토,맑음,10698,23.7,0.0
09-26,일,비,11145,22.0,68.1
09-27,월,구름 많음,1478,20.2,4.5
09-28,화,맑음,1124,20.9,0.0
09-29,수,맑음,169,21.8,0.0
09-30,목,맑음,1840,21.2,0.0
10-01,금,맑음,2313,22.6,0.0
10-02,토,구름 조금,12400,21.6,0.0
10-03,일,구름 조금,16853,21.5,1.3
10-04,월,흐림,5215,20.2,13.1
10-05,화,맑음,1259,20.3,0.0
10-06,수,맑음,353,13.70737018425461,0.0
10-07,목,흐림,914,21.1,13.3
10-08,금,맑음,715,20.7,0.0
10-09,토,맑음,13776,22.3,0.0
10-10,일,구름 많음,6376,22.9,3.6
10-11,월,구름 조금,14410,23.6,0.0
10-12,화,구름 많음,1763,18.8,6.4
10-13,수,구름 많음,2368,19.4,4.6
10-14,목,구름 많음,2310,18.8,3.5
10-15,금,구름 조금,1857,20.9,0.4
10-16,토,흐림,7823,19.9,14.2
10-17,일,구름 조금,5034,15.2,0.3
10-18,월,맑음,3236,17.9,0.0
10-19,화,맑음,1091,19.6,0.0
10-20,수,맑음,1863,19.7,0.0
10-21,목,구름 조금,1938,19.0,0.0
10-22,금,구름 조금,2386,10.7,0.0
10-23,토,맑음,11525,5.6,0.0
10-24,일,구름 많음,14344,9.6,5.6
10-25,월,구름 많음,2267,10.9,4.4
10-26,화,맑음,2433,9.5,0.0
10-27,수,맑음,20162,9.8,0.0
10-28,목,맑음,3071,10.8,0.0
10-29,금,맑음,3468,11.4,0.0
10-30,토,맑음,13047,11.4,0.0
10-31,일,맑음,15648,11.7,0.0
11-01,월,맑음,3168,13.0,0.0
11-02,화,구름 조금,3353,13.4,0.0
11-03,수,맑음,3310,12.7,0.0
11-04,목,맑음,2533,14.6,0.0
11-05,금,맑음,3846,13.8,0.0
11-06,토,구름 조금,15092,14.1,0.7
11-07,일,맑음,16700,12.9,0.0
11-08,월,맑음,171,11.5,0.0
11-09,화,맑음,385,12.1,0.0
11-10,수,구름 조금,930,12.1,0.0
11-11,목,맑음,1515,13.0,0.0
11-12,금,맑음,1593,14.1,0.0
11-13,토,맑음,6639,15.3,0.0
11-14,일,비,8436,8.6,25.7
11-15,월,구름 조금,1680,4.9,2.0
11-16,화,구름 조금,3665,4.2,0.3
11-17,수,구름 조금,1631,5.3,0.0
11-18,목,맑음,1073,4.5,0.0
11-19,금,맑음,1748,7.3,0.0
11-20,토,맑음,4321,11.3,0.0
11-21,일,맑음,3040,10.1,0.0
11-22,월,맑음,683,8.5,0.0
11-23,화,맑음,436,7.5,0.0
11-24,수,구름 조금,523,11.9,0.0
11-25,목,맑음,665,12.9,0.0
11-26,금,맑음,16233,10.4,0.0
11-27,토,구름 많음,15992,10.4,5.9
11-28,일,구름 조금,4650,2.7,1.3
11-29,월,맑음,1137,-0.6,0.0
11-30,화,구름 조금,141,4.1,0.0
12-01,수,맑음,321,5.7,0.0
12-02,목,구름 조금,386,2.9,0.0
12-03,금,맑음,361,3.4,0.0
12-04,토,맑음,1741,5.1,0.0
12-05,일,맑음,2830,7.6,0.0
12-06,월,비,696,5.7,27.2
12-07,화,맑음,1776,13.70737018425461,0.0
12-08,수,맑음,744,-1.3,0.0
12-09,목,구름 조금,645,1.3,0.1
12-10,금,구름 조금,404,1.9,0.4
12-11,토,맑음,2688,1.4,0.0
12-12,일,맑음,2415,2.9,0.0
12-13,월,맑음,267,5.4,0.0
12-14,화,맑음,568,6.8,0.0
12-15,수,맑음,339,6.7,0.0
12-16,목,맑음,355,6.5,0.0
12-17,금,구름 조금,343,7.0,0.7
12-18,토,맑음,312,6.0,0.0
12-19,일,맑음,573,1.2,0.0
12-20,월,맑음,471,-2.2,0.0
12-21,화,구름 조금,460,3.7,1.2
12-22,수,구름 조금,427,7.2,2.1
12-23,목,구름 조금,430,6.4,0.0
12-24,금,맑음,303,-5.6,0.0
12-25,토,구름 많음,390,-5.7,2.8
12-26,일,구름 조금,223,-0.8,0.2
12-27,월,구름 조금,12955,5.2,0.0
12-28,화,맑음,317,5.2,0.0
12-29,수,맑음,394,2.2,0.0
12-30,목,맑음,420,2.7,0.0
12-31,금,구름 조금,202,-0.3,0.2
01-01,토,맑음,1043,-4.3,0.0
01-02,일,구름 조금,1084,-1.3,0.3
01-03,월,구름 조금,324,-1.9,0.0
01-04,화,구름 조금,417,-2.5,0.0
01-05,수,맑음,349,-2.8,0.0
01-06,목,맑음,933,-2.2,0.0
01-07,금,맑음,463,-1.6,0.0
01-08,토,구름 조금,1431,0.3,0.0
01-09,일,맑음,1116,1.3,0.0
01-10,월,구름 조금,367,0.5,0.9
01-11,화,구름 조금,249,-7.4,0.2
01-12,수,맑음,139,-7.7,0.0
01-13,목,맑음,1276,-6.4,0.0
01-14,금,맑음,224,-4.8,0.0
01-15,토,구름 조금,1433,-1.0,0.0
01-16,일,구름 조금,1262,-2.0,0.0
01-17,월,구름 조금,283,-5.8,0.5
01-18,화,맑음,358,-5.6,0.0
01-19,수,구름 조금,240,-5.3,1.7
01-20,목,맑음,327,-5.0,0.0
01-21,금,맑음,386,-2.7,0.0
01-22,토,맑음,1882,0.3,0.0
01-23,일,맑음,2805,2.0,0.0
01-24,월,맑음,746,4.6,0.0
01-25,화,구름 조금,267,2.8,0.7
01-26,수,맑음,558,1.3,0.0
01-27,목,맑음,476,-1.1,0.0
01-28,금,맑음,426,-2.7,0.0
01-29,토,맑음,1237,-3.6,0.0
01-30,일,맑음,1951,-2.8,0.0
01-31,월,구름 조금,2755,-0.7,1.2
02-01,화,구름 조금,1096,-1.3,1.7
02-02,수,맑음,1651,-3.4,0.0
02-03,목,맑음,652,-3.4,0.0
02-04,금,구름 조금,374,-5.2,0.0
02-05,토,맑음,509,-6.6,0.0
02-06,일,맑음,860,-3.9,0.0
02-07,월,맑음,275,-2.5,0.0
02-08,화,맑음,591,-0.1,0.0
02-09,수,맑음,564,1.0,0.0
02-10,목,맑음,704,1.4,0.0
02-11,금,맑음,755,2.9,0.0
02-12,토,맑음,2875,4.8,0.0
02-13,일,맑음,4327,4.8,0.0
02-14,월,구름 조금,721,2.5,1.7
02-15,화,구름 조금,2350,-4.7,0.0
02-16,수,구름 조금,282,-7.3,0.0
02-17,목,맑음,215,-6.2,0.0
02-18,금,맑음,599,-1.2,0.0
02-19,토,구름 조금,2013,-1.7,0.1
02-20,일,맑음,1677,-4.8,0.0
02-21,월,구름 조금,364,-3.0,0.1
02-22,화,맑음,380,-4.5,0.0
02-23,수,맑음,337,-5.6,0.0
02-24,목,맑음,656,-2.4,0.0
02-25,금,맑음,1254,3.0,0.0
02-26,토,구름 조금,1947,5.4,1.1
02-27,일,맑음,6364,3.7,0.0
02-28,월,맑음,3653,6.8,0.0
03-01,화,맑음,4485,13.70737018425461,0.0
03-02,수,맑음,902,13.70737018425461,0.0
03-03,목,맑음,927,13.70737018425461,0.0
03-04,금,구름 조금,614,5.8,2.3
03-05,토,맑음,2774,3.5,0.0
03-06,일,맑음,4926,5.8,0.0
03-07,월,맑음,755,6.9,0.0
03-08,화,맑음,1096,2.3,0.0
03-09,수,맑음,12164,1.4,0.0
03-10,목,맑음,1044,2.8,0.0
03-11,금,맑음,1440,6.0,0.0
03-12,토,맑음,10364,7.1,0.0
03-13,일,맑음,1397,9.3,0.0
03-14,월,맑음,135,11.2,0.0
03-15,화,구름 많음,1287,12.8,2.6
03-16,수,비,1520,11.7,42.1
03-17,목,흐림,2283,8.2,8.7
03-18,금,맑음,556,7.2,0.0
03-19,토,맑음,504,10.3,0.0
03-20,일,구름 조금,7728,10.7,1.2
03-21,월,구름 조금,1259,7.5,0.0
03-22,화,흐림,1348,3.4,14.6
03-23,수,구름 조금,777,5.4,0.0
03-24,목,맑음,1079,5.0,0.0
03-25,금,맑음,1185,7.1,0.0
03-26,토,맑음,3615,6.2,0.0
03-27,일,맑음,15630,8.2,0.0
03-28,월,흐림,3633,12.0,10.9
03-29,화,흐림,2389,11.8,19.8
03-30,수,맑음,670,8.1,0.0
03-31,목,맑음,1516,8.2,0.0
04-01,금,맑음,3094,9.7,0.0
04-02,토,구름 조금,19080,10.8,0.4
04-03,일,맑음,20368,10.9,0.0
04-04,월,맑음,2616,9.2,0.0
04-05,화,맑음,2293,8.2,0.0
04-06,수,맑음,2635,9.6,0.0
04-07,목,맑음,2425,10.3,0.0
04-08,금,맑음,5368,10.3,0.0
04-09,토,맑음,22965,11.7,0.0
04-10,일,맑음,24296,10.9,0.0
04-11,월,맑음,6053,12.9,0.0
04-12,화,구름 조금,4761,17.8,0.5
04-13,수,맑음,831,18.2,0.0
04-14,목,맑음,2172,19.6,0.0
04-15,금,구름 조금,5086,19.3,0.5
04-16,토,구름 조금,22173,13.1,1.3
04-17,일,맑음,22239,13.2,0.0
04-18,월,맑음,3122,13.3,0.0
04-19,화,맑음,5147,13.2,0.0
04-20,수,맑음,3229,14.0,0.0
04-21,목,맑음,3143,15.2,0.0
04-22,금,맑음,2171,15.2,0.0
04-23,토,맑음,18329,15.7,0.0
04-24,일,맑음,17940,16.3,0.0
04-25,월,맑음,2604,15.0,0.0
04-26,화,맑음,2563,17.7,0.0
04-27,수,구름 조금,3095,18.5,0.3
04-28,목,구름 조금,4191,20.0,1.3
04-29,금,구름 조금,3185,21.9,1.0
04-30,토,맑음,20693,17.7,0.0
05-01,토,구름 조금,16307,18.2,0.0
05-02,일,흐림,3893,13.4,15.5
05-03,월,맑음,3594,13.0,0.0
05-04,화,맑음,6421,13.70737018425461,0.0
05-05,수,맑음,46381,13.4,0.0
05-06,목,맑음,13667,14.2,0.0
05-07,금,맑음,10100,14.8,0.0
05-08,토,맑음,6887,17.8,0.0
05-09,일,맑음,3350,18.9,0.0
05-10,월,맑음,3458,19.6,0.0
05-11,화,구름 조금,3399,18.4,0.5
05-12,수,구름 조금,3523,15.3,2.0
05-13,목,맑음,6037,17.9,0.0
05-14,금,구름 조금,12924,19.9,0.0
05-15,토,구름 조금,13663,19.7,0.0
05-16,일,맑음,3881,20.9,0.0
05-17,월,맑음,4384,19.4,0.0
05-18,화,맑음,3217,15.7,0.0
05-19,수,맑음,5872,16.2,0.0
05-20,목,맑음,11668,17.3,0.0
05-21,금,맑음,15593,20.0,0.0
05-22,토,구름 조금,15974,20.0,1.5
05-23,일,맑음,4327,19.9,0.0
05-24,월,맑음,5103,20.6,0.0
05-25,화,맑음,5800,20.1,0.0
05-26,수,맑음,6660,20.3,0.0
05-27,목,맑음,7146,23.0,0.0
