,날짜,요일,날씨,총계,평균기온(℃),강수량(mm)
1788,11-25,목,맑음,665,12.9,0.0
1789,11-26,금,맑음,16233,13.7,0.0
1790,11-27,토,맑음,15992,11.8,0.0
1791,11-28,일,구름 조금,4650,10.7,0.0
1792,11-29,월,구름 조금,1137,10.8,0.0
1793,11-30,화,맑음,141,9.4,0.0
1794,12-01,수,구름 조금,321,12.3,1.7
1795,12-02,목,맑음,386,6.7,0.0
1796,12-03,금,맑음,361,5.4,0.0
1797,12-04,토,흐림,1741,12.3,19.5
1798,12-05,일,구름 많음,2830,6.9,3.8
1799,12-06,월,맑음,696,-5.4,0.0
1800,12-07,화,맑음,1776,13.707370184254607,0.0
1801,12-08,수,맑음,744,-5.4,0.0
1802,12-09,목,맑음,645,-2.5,0.0
1803,12-10,금,구름 조금,404,2.1,1.1
1804,12-11,토,맑음,2688,-3.5,0.0
1805,12-12,일,맑음,2415,-3.1,0.0
1806,12-13,월,구름 조금,267,0.9,0.1
1807,12-14,화,구름 조금,568,4.9,0.1
1808,12-15,수,맑음,339,3.7,0.0
1809,12-16,목,구름 조금,355,4.5,0.0
1810,12-17,금,맑음,343,2.6,0.0
1811,12-18,토,맑음,312,1.6,0.0
1812,12-19,일,구름 많음,573,2.0,5.4
1813,12-20,월,구름 조금,471,0.0,0.6
1814,12-21,화,맑음,460,-8.4,0.0
1815,12-22,수,구름 조금,427,-4.5,2.4
1816,12-23,목,맑음,430,-6.3,0.0
1817,12-24,금,구름 조금,303,-7.0,0.2
1818,12-25,토,맑음,390,-9.5,0.0
1819,12-26,일,맑음,223,-7.0,0.0
1820,12-27,월,맑음,12955,-3.2,0.0
1821,12-28,화,구름 많음,317,-0.1,3.6
1822,12-29,수,맑음,394,-7.8,0.0
1823,12-30,목,맑음,420,-11.8,0.0
1824,12-31,금,맑음,202,-8.4,0.0
